name,phone,address,website,rating,reviews,place_id,source,website date,instant pay,sex
Brennan Law Offices,(215) 568-1400,"1600 Locust St, Philadelphia, PA 19103, USA",https://www.philadelphiacriminallaw.com/?utm_source=google&utm_medium=organic&utm_campaign=seolocale,4.7,23,ChIJ8f4j0TPGxokRzGq6XsSAYTo,TextSearch(New)+Details(New),,,
Law Offices of Hope Lefeber,(610) 596-1880,"1500 John F Kennedy Blvd # 1205, Philadelphia, PA 19102, USA",https://www.hopelefeber.com/,5,27,ChIJATCdEC7GxokR4If8qZiY7Fw,TextSearch(New)+Details(New),,,
Saadzoi Law,(610) 566-5956,"115 W State St #403, Media, PA 19063, USA",https://saadzoilaw.com/criminal-lawyer-delaware-county-pa/,5,305,ChIJ5yZTmQjpxokRF5Qi9fDTYOU,TextSearch(New)+Details(New),,,
Stephen Stewart Law,(215) 650-6500,"29 E Marshall St, Norristown, PA 19401, USA",https://www.stephenstewartlaw.com/,4.9,123,ChIJjYNOovKXxokRsbq-kOHgKRo,TextSearch(New)+Details(New),,,
Derek Steenson Attorney At Law,(215) 253-8658,"100 S Broad St Suite 812B, Philadelphia, PA 19110, USA",https://www.criminallawyerinphiladelphia.net/,4.3,34,ChIJQQfIVCXGxokRQVd3uANszGU,TextSearch(New)+Details(New),,,
"Jensen Bagnato, P.C.",(215) 546-4700,"1500 Walnut St Suite 1510, Philadelphia, PA 19102, USA",http://yourphiladelphialawyers.com/,4.8,292,ChIJh0fICzDGxokRKRsNY9fRH-M,TextSearch(New)+Details(New),,,
The Law Office of Jason C. Kadish,(215) 231-9844,"1500 John F Kennedy Blvd #1723b, Philadelphia, PA 19102, USA",http://www.kadish.lawyer/,4.9,16,ChIJfSpoGS7GxokRNU-7HjsLetQ,TextSearch(New)+Details(New),,,
"Joseph P. Capone, Attorney at Law",(215) 557-0070,"2332 S Broad St, Philadelphia, PA 19145, USA",https://www.caponelawyers.com/,5,108,ChIJ82UXcZ7HxokRQkDadvgI15Y,TextSearch(New)+Details(New),,,
The Nenner Law Firm,(215) 564-0644,"123 S Broad St Suite 2145, Philadelphia, PA 19109, USA",https://www.nennerlaw.com/,5,19,ChIJcRk32i_GxokRtJqSNq2ECeE,TextSearch(New)+Details(New),,,
Douglas Dolfman Attorney at Law,(215) 266-3696,"1617 John F Kennedy Blvd #2000, Philadelphia, PA 19103, USA",http://www.dolfmanlawyer.com/,4.5,51,ChIJH36T7THGxokR-GyoMTsVN24,TextSearch(New)+Details(New),,,
Law Offices of Sheikh Irfan Afzal,(484) 273-0699,"319 S 69th St 2nd floor, Suite 4, Upper Darby Township, PA 19082, USA",http://www.sirfanlawoffice.com/,4.9,198,ChIJD9gYKmDBxokR-9EYIf4YVeA,TextSearch(New)+Details(New),,,
"Zachary B. Cooper, Attorney at Law, P.C.",(215) 542-0800,"790 Penllyn Blue Bell Pike #206, Blue Bell, PA 19422, USA",https://www.pennsylvaniaduilawyers.com/?utm_source=google&utm_medium=local,5,353,ChIJGbOWub28xokR7R32tfgevsA,TextSearch(New)+Details(New),,,
"Laguzzi Law, P.C.",(215) 625-4547,"P.O. Box 30095, 2037 Chestnut St, Philadelphia, PA 19103, USA",http://www.laguzzilaw.com/,5,37,ChIJQfO1Ji7GxokRypwa5il1bxg,TextSearch(New)+Details(New),,,
A Charles Peruto Jr,(215) 735-1010,"2016 Spruce St, Philadelphia, PA 19103, USA",http://www.peruto.com/,4.7,66,ChIJCRyxvzjGxokRRrjBfhZ-H7I,TextSearch(New)+Details(New),,,
Ellis Legal,(631) 972-8616,"100 S Broad St #1910, Philadelphia, PA 19110, USA",https://www.ellis-legal.com/,4.8,66,ChIJs2SZlkjHxokR4Wu7zv8IjR0,TextSearch(New)+Details(New),,,
The Law Offices of Brian E. Quinn,(215) 545-3338,"1420 Walnut St Suite 1200, Philadelphia, PA 19102, USA",https://www.brianequinndefense.com/?npcmp=dir:local:1999568:19102,4.9,119,ChIJTw5a9y_GxokRSqGf8DgAN_g,TextSearch(New)+Details(New),,,
Soloff & Zervanos Personal Injury Attorneys,(215) 608-4067,"1525 Locust St 8th Floor, Philadelphia, PA 19102, USA",https://soloffandzervanos.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Philadelphia&utm_id=GBP_Philadelphia,4.9,224,ChIJYc2JuDrGxokRXdlmCqu3GQU,TextSearch(New)+Details(New),,,
Fienman Defense LLC,(610) 910-8663,"119 N Olive St, Media, PA 19063, USA",https://www.philadelphiacriminalattorney.com/delaware-county/?utm_source=google&utm_medium=maps&utm_campaign=media&st-t=media,5,62,ChIJFxQzXAjpxokRpgs0Ic_ATDk,TextSearch(New)+Details(New),,,
"Giaramita Law Offices, P.C. | The Gun Law Firm",(484) 558-0076,"101 West Chester Pike #1a, Havertown, PA 19083, USA",http://www.glawpa.com/,4.9,141,ChIJuy0ASczpyIkRFpnpy-onFvw,TextSearch(New)+Details(New),,,
Badet Law PLLC,(267) 277-2641,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://divorcelawyerbadet.com/,4.9,253,ChIJ3braR5zHxokRxdRtbSwEBaQ,TextSearch(New)+Details(New),,,
"Marrone Law Firm, LLC",(215) 732-6700,"200 S Broad St #610, Philadelphia, PA 19102, USA",https://marronelaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Philadelphia&utm_id=GBP_Philadelphia,4.6,144,ChIJ0-c3YSXGxokR6yatX8FPH0w,TextSearch(New)+Details(New),,,
"The Law Offices of Joseph Lesniak, LLC",(484) 444-2348,"334 W Front St, Media, PA 19063, USA",https://www.jpllaw.net/,4.9,63,ChIJDZYmkQjpxokR1Il91UCTRNc,TextSearch(New)+Details(New),,,
"O'Hanlon Schwartz, P.C.",(267) 546-9066,"1500 John F Kennedy Blvd #1410, Philadelphia, PA 19102, USA",http://www.ohanlonschwartz.com/?npcmp=dir:local:4354442:19102,4.6,18,ChIJhYr30oTIxokRTMKDzrutje8,TextSearch(New)+Details(New),,,
"Kwartler Manus, LLC",(267) 457-5570,"1429 Walnut St 14th Floor, Philadelphia, PA 19102, USA",https://www.kminjurylawyers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=philadelphia,4.8,458,ChIJc_X3qTfGxokRV0rwa5z0Fb8,TextSearch(New)+Details(New),,,
Law Office Of Adrian Reid,(215) 735-2880,"1518 Walnut St #1104, Philadelphia, PA 19102, USA",https://adrianrreidpc.com/,5,108,ChIJwxPO1NXHxokRDhfljtRAI4k,TextSearch(New)+Details(New),,,
"Law Offices Of Jason Pollack, Esq",(856) 563-8605,"211 S White Horse Pike, Audubon, NJ 08106, USA",https://www.sjattorney.net/,5,248,ChIJdelQLqTOxokR5VOLUa5k8Tg,TextSearch(New)+Details(New),,,
The Law Offices of Anthony F. Godshall,(215) 315-3043,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://www.afgodslaw.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15875221911091271907,5,45,ChIJ5_mTUi3HxokRL5oMIVMFU4g,TextSearch(New)+Details(New),,,
Latoison Law,(610) 999-1439,"8 S Plum St, Media, PA 19063, USA",https://latoisonlaw.com/?utm_source=gmbmedia,4.9,329,ChIJ4aQaJAjpxokRtlKpC0qUaEE,TextSearch(New)+Details(New),,,
Law Office of Steven F. O'Meara,(610) 557-3907,"14 S Orange St, Media, PA 19063, USA",https://stevenomearalaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.8,63,ChIJ8_3WvAjpxokRvqr5d9_Qa24,TextSearch(New)+Details(New),,,
Martinicchio Criminal Defense Group,(610) 614-9014,"334 W Front St #103, Media, PA 19063, USA",https://martinicchiocriminaljusticelaw.com/criminal-defense-lawyer-media-pa/,5,16,ChIJT6fZVFHpxokR6WuLLKfLggU,TextSearch(New)+Details(New),,,
The McGarrigle Law Firm,(610) 566-3010,"117-119 N Olive St, Media, PA 19063, USA",http://www.mcgarriglelawfirm.com/,4.6,76,ChIJFxQzXAjpxokRQ8ZDXngzIXg,TextSearch(New)+Details(New),,,
"James H. Bonner, Criminal & DUI Defense Lawyer",(610) 450-4555,"8 W Front St, Media, PA 19063, USA",http://www.bonnerlaw.net/,4.7,67,ChIJG1W2hRfpxokROIA6xmms3s0,TextSearch(New)+Details(New),,,
Kevin O'Neill Law,(610) 566-0500,"215 N Olive St Suite 201, Media, PA 19063, USA",http://kevinoneilllaw.net/,4.6,20,ChIJcaycUQjpxokRrIHZRAvlFOs,TextSearch(New)+Details(New),,,
Giribaldi Law,(610) 891-8303,"117 N Olive St, Media, PA 19063, USA",http://www.giribaldiandmanaras.com/,4.7,46,ChIJfzeTXwjpxokRibXj9IxELnA,TextSearch(New)+Details(New),,,
"DiCindio Law, LLC",(610) 486-3458,"29 S Walnut St, West Chester, PA 19382, USA",https://www.dicindiolaw.com/,5,162,ChIJwyKwDaqSxokRQMg5eRKGICw,TextSearch(New)+Details(New),,,
David Clark Attorney at Law,(215) 874-6280,"24 Veterans Sq. Suite 200, Media, PA 19063, USA",https://criminallawpennsylvania.com/delaware-county-criminal/?utm_source=GMBlisting&utm_medium=organic,5,2,ChIJ401mxN3pxokRndhat0RD85w,TextSearch(New)+Details(New),,,
"Law Office of W. Keith Williams II, P.C.",(610) 626-3855,"710 1/2 Church Ln, Yeadon, PA 19050, USA",https://www.injuredcallkeith.com/,5,25,ChIJwY3a9VTBxokRTD15lTJFVFY,TextSearch(New)+Details(New),,,
"Bauer, Scanlon, & Wigginton L.L.C.",(610) 590-5092,"112 W Front St First Floor, Media, PA 19063, USA",https://bswlawyers.com/,5,32,ChIJa7RQoGnpxokR2M4NizItqVc,TextSearch(New)+Details(New),,,
"Schrom and Shaffer, P.C.",(610) 565-5050,"4 W Front St, Media, PA 19063, USA",https://schromlaw.com/,5,11,ChIJVW0qbQjpxokRXwN7pfkfqg0,TextSearch(New)+Details(New),,,
"The DeLiberty Law Firm - The Credit Lawyer Daniel A. DeLiberty, Esq.",(610) 353-0322,"2809 West Chester Pike #100, Broomall, PA 19008, USA",http://www.creditlawyers.com/?utm_source=GBP&utm_medium=Organic&utm_campaign=Google+Business+Profile&utm_id=Google+Business+Profile,5,264,ChIJ4zq6_F7qxokRYgxEkvCvZJ4,TextSearch(New)+Details(New),,,
"Beeson Law, LLC",(484) 790-1239,"117 W Gay St #300, West Chester, PA 19380, USA",https://beesonlawllc.com/,5,136,ChIJr1nL9sPxxokRS1AeINDfACY,TextSearch(New)+Details(New),,,
Ciarrocchi Law,(610) 502-3300,"104 W Front St, Media, PA 19063, USA",https://www.ciarrocchilaw.com/?utm_source=google&utm_campaign=GMB&utm_content=Media,5,60,ChIJIThk07fpxokRFsLWMvcG_Es,TextSearch(New)+Details(New),,,
Ciccarelli Law Offices,(610) 692-8700,"304 N High St, West Chester, PA 19380, USA",https://www.ciccarelli.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,383,ChIJteASwj2UxokRz-nJO8X5xNk,TextSearch(New)+Details(New),,,
Keller Lisgar & Williams LLP,(610) 449-1400,"101 Darby Rd, Havertown, PA 19083, USA",http://klwllp.com/,4.6,69,ChIJW_LmrKnBxokRVrJaZ9H9rnU,TextSearch(New)+Details(New),,,
"Law Office of Leo M. Pall, Esq.",(610) 715-3734,"8600 West Chester Pike Suite #103, Upper Darby Township, PA 19082, USA",http://www.upperdarbylawyer.com/,4.3,44,ChIJZx8oYTnBxokRRhvNDbbUwi0,TextSearch(New)+Details(New),,,
"Christopher A. Hemmel, Esq.",(610) 724-3382,"1489 Baltimore Pike #201, Springfield, PA 19064, USA",http://www.chrishemmel.com/,5,1,ChIJs43RZ5DCxokRAC6jCKnJjVw,TextSearch(New)+Details(New),,,
Law Office of John Neumann Hickey,(610) 891-8883,"20 W Front St, Media, PA 19063, USA",http://www.hickeylaw.com/,4.9,28,ChIJWRj2bgjpxokRaShDoM1qRvk,TextSearch(New)+Details(New),,,
Mark P. Much,(610) 565-9750,"341 W Baltimore Ave, Media, PA 19063, USA",https://muchlawoffice.com/,4.6,37,ChIJg-E-6AXpxokR8HOS9fvS03M,TextSearch(New)+Details(New),,,
The Law Offices of Arthur Thomas Donato Jr.,(610) 565-4747,"216 W Front St 2nd Floor, Media, PA 19063, USA",http://www.artdonato.com/?utm_source=GMB&utm_medium=organic&utm_campaign=media,5,2,ChIJB5TllgjpxokRyTk9vhgmjiw,TextSearch(New)+Details(New),,,
Law Offices of Stephen Molineux,(610) 534-3276,"227 MacDade Blvd, Darby, PA 19023, USA",http://www.molineuxlaw.com/,4.4,14,ChIJLdTMT-rDxokRzh6uXO_owlg,TextSearch(New)+Details(New),,,
Crawford Law,(877) 992-6311,"55 N Lansdowne Ave, Lansdowne, PA 19050, USA",,2.2,5,ChIJ8SK2nafpxokR2XHstvVhve4,TextSearch(New)+Details(New),,,
"Law Offices of Robert E. O'Connor, P.C.",(610) 566-1110,"341 W State St, Media, PA 19063, USA",https://www.lawyermediapa.com/,4.9,137,ChIJRa-UWQ_pxokRPHbKxTgU-l8,TextSearch(New)+Details(New),,,
Adams Kearney Law,(610) 521-8800,"6 E Hinckley Ave, Ridley Park, PA 19078, USA",https://adamskearneylaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=3179,4.6,21,ChIJUc3iBr7CxokRSDb-SykYohA,TextSearch(New)+Details(New),,,
Thompson & Donati Law,(610) 726-0502,"110 W Front St, Media, PA 19063, USA",https://thompsonanddonatilaw.com/?utm_campaign=gmb,4.6,53,ChIJTRQgTQTpxokR4vvkDHC_wVw,TextSearch(New)+Details(New),,,
Sabir Law Group,(610) 713-9000,"6454 Market St, Upper Darby Township, PA 19082, USA",https://sabirlaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=1490,4.8,524,ChIJJ47ety3BxokR45A0ZPfANh8,TextSearch(New)+Details(New),,,
Law Offices of Gordon S. Brown,(610) 662-0103,"25 E 2nd St, Media, PA 19063, USA",https://mediadivorcelawyer.net/,4.5,64,ChIJp9U8JwjpxokRrqP9swU9kj8,TextSearch(New)+Details(New),,,
HBC Law Group,(877) 992-6311,"55 N Lansdowne Ave, Lansdowne, PA 19050, USA",http://www.hbmlawoffice.com/,4,1,ChIJAcsUcWfBxokRF4gWje8B4Yc,TextSearch(New)+Details(New),,,
Aivazoglou & Mikropoulos,(610) 876-8880,"1425 Chester Pike, Crum Lynne, PA 19022, USA",https://aivazogloumikropoulos.com/,4.8,177,ChIJi_iQ_qnCxokRSNBTKKJx0B4,TextSearch(New)+Details(New),,,
The Law Office of Michael J. Malloy & Associates,(610) 565-9145,"12 Veterans Sq., Media, PA 19063, USA",https://malloylawoffice.com/,4.2,20,ChIJeaCFmQjpxokRE5lpxxZcU68,TextSearch(New)+Details(New),,,
"Douglass, West & Associates",(610) 446-9000,"830 N Lansdowne Ave, Drexel Hill, PA 19026, USA",http://dwalaw.com/,3.9,9,ChIJkZmkqw7BxokR3rWXF6ubhiY,TextSearch(New)+Details(New),,,
Siddons Law Firm,(610) 708-0495,"230 N Monroe St Suite A, Media, PA 19063, USA",https://siddonslaw.com/,4.9,63,ChIJp6LVcQjpxokRGn4w_u0KYU0,TextSearch(New)+Details(New),,,
Kusturiss Law,(610) 565-0240,"323 E Front St, Media, PA 19063, USA",,4.2,9,ChIJWaRwPabpxokRd9HU8_ly7n0,TextSearch(New)+Details(New),,,
"Law Offices of Spadea & Associates, LLC",(610) 521-0604,"1300 MacDade Boulevard Suite 1, Folsom, PA 19033, USA",http://www.spadealawfirm.com/,4.7,127,ChIJTVmZkr_CxokRc4vrwsDQRYc,TextSearch(New)+Details(New),,,
Schuster Law,(610) 601-2980,"334 W Front St, Media, PA 19063, USA",https://www.schusterlaw.com/media/,4.5,75,ChIJGxEYswjpxokR1EX5-HE-cwc,TextSearch(New)+Details(New),,,
